cityID,cityName
1,Lviv
2,Kyiv
3,Chernivtsi
4,Ivano-Frankivsk
5,Ternopil
6,Rivne
7,Uzhhorod
8,Lutsk
9,Zhytomyr
10,Chernihiv
11,Cherkasy
12,Zaporizhzhia
13,Kharkiv
14,Odesa
15,Mykolaiv
16,Kherson
17,Khmelnytskyi
18,Donetsk
19,Dnipro
20,Luhansk
21,Sumy
22,Poltava
23,Kropyvnytskyi
24,Vinnytsia
